ds;y
2015-01-01;324066.81
2015-01-02;549670.39
2015-01-03;561874.44
2015-01-04;546101.68
2015-01-05;740038.16
2015-01-06;687665.09
2015-01-07;946532
2015-01-08;915771.74
2015-01-09;849896.22
2015-01-10;668196.34
2015-01-11;847233.8
2015-01-12;957129.49
2015-01-13;1057750.32
2015-01-14;870898.1
2015-01-15;893900.25
2015-01-16;854942.3
2015-01-17;653546.62
2015-01-18;963783.63
2015-01-19;1074411.16
2015-01-20;1128273.12
2015-01-21;1001997.73
2015-01-22;1037153.81
2015-01-23;955512.12
2015-01-24;760176.82
2015-01-25;844757.25
2015-01-26;935111.25
2015-01-27;1035005.11
2015-01-28;932970.55
2015-01-29;883276.37
2015-01-30;803518.32
2015-01-31;689345.5
2015-02-01;760455.85
2015-02-02;939019.17
2015-02-03;896072.15
2015-02-04;926025.63
2015-02-05;921442.12
2015-02-06;766584.77
2015-02-07;692498.1
2015-02-08;783271.03
2015-02-09;973786.41
2015-02-10;1074862.06
2015-02-11;951546.26
2015-02-12;854864.88
2015-02-13;794935.84
2015-02-14;502016.77
2015-02-15;699106.1
2015-02-16;863674.81
2015-02-17;987700.47
2015-02-18;1065330.96
2015-02-19;972432.64
2015-02-20;913185.68
2015-02-21;753563.61
2015-02-22;873198.18
2015-02-23;1019323.75
2015-02-24;980539.6
2015-02-25;1005848.72
2015-02-26;967552.88
2015-02-27;971724.38
2015-02-28;759082.36
2015-03-01;899047.08
2015-03-02;812887.65
2015-03-03;1014292.9
2015-03-04;929303.87
2015-03-05;932366.04
2015-03-06;814652.75
2015-03-07;686179.09
2015-03-08;772959.16
2015-03-09;812083.93
2015-03-10;1028854.97
2015-03-11;990781.54
2015-03-12;896514.29
2015-03-13;849875.74
2015-03-14;747333.59
2015-03-15;850107.24
2015-03-16;1045510.08
2015-03-17;1008476.01
2015-03-18;960043.48
2015-03-19;959795.28
2015-03-20;846727.43
2015-03-21;658855.83
2015-03-22;914626.51
2015-03-23;958105.58
2015-03-24;927716.1
2015-03-25;848952.95
2015-03-26;849659.81
2015-03-27;836433.18
2015-03-28;702191.32
2015-03-29;825737.36
2015-03-30;985913.28
2015-03-31;923668.31
2015-04-01;886979.16
2015-04-02;791768.42
2015-04-03;601374.67
2015-04-04;486220.82
2015-04-05;632773.49
2015-04-06;797220.76
2015-04-07;977303.78
2015-04-08;880040.46
2015-04-09;950063.23
2015-04-10;784990.29
2015-04-11;629831.37
2015-04-12;745282.07
2015-04-13;959734.31
2015-04-14;1059085.36
2015-04-15;1050652.07
2015-04-16;1050781.68
2015-04-17;842618.06
2015-04-18;556553.61
2015-04-19;913821.11
2015-04-20;1022780.3
2015-04-21;990790.95
2015-04-22;984457.1
2015-04-23;885821.67
2015-04-24;896457.59
2015-04-25;764157.33
2015-04-26;881960.04
2015-04-27;946832.08
2015-04-28;970874.51
2015-04-29;1044085.37
2015-04-30;947790.49
2015-05-01;646782.22
2015-05-02;640505.78
2015-05-03;713694.3
2015-05-04;985310.36
2015-05-05;1042743.82
2015-05-06;969567.5
2015-05-07;895368.97
2015-05-08;789549.43
2015-05-09;618147.32
2015-05-10;707023.21
2015-05-11;1063760.06
2015-05-12;1178042.5
2015-05-13;930623.96
2015-05-14;759686.11
2015-05-15;876717.43
2015-05-16;684170.01
2015-05-17;833428.25
2015-05-18;1042456.9
2015-05-19;1062273.08
2015-05-20;1011828.2
2015-05-21;975282.65
2015-05-22;827773.52
2015-05-23;661962.82
2015-05-24;729955.5
2015-05-25;1052643.2
2015-05-26;1076408
2015-05-27;1073386.6
2015-05-28;1011289.53
2015-05-29;976073.93
2015-05-30;806122.5
2015-05-31;967966
2015-06-01;1334677.13
2015-06-02;1234179.93
2015-06-03;1090885.27
2015-06-04;1131703.91
2015-06-05;877443.48
2015-06-06;753235.5
2015-06-07;859822.59
2015-06-08;1113550.27
2015-06-09;1262012.32
2015-06-10;1095474.44
2015-06-11;922637.37
2015-06-12;894493.14
2015-06-13;712015.73
2015-06-14;695161.71
2015-06-15;1121898.47
2015-06-16;1197016.69
2015-06-17;1106802.55
2015-06-18;1105960.51
